"镜头编号","时长秒","场次","景别","机位","画面","动作","对白或旁白","图片提示词","视频提示词","连续性引用"
"第001集-镜头011","5","场次002·陈家客厅","纯脸部特写","固定反打","陈默避开母亲视线，镜片不再有游戏亮光","陈默垂下目光","陈母（画外）：“你王叔家孩子都当总监了。”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-001陈默头顶至下巴，黑框眼镜与碎发锁定；暖色客厅光，眼神躲避，嘴唇闭合，背景为柔焦餐桌；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈默目光从母亲方向缓慢垂下，不说话；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-001;服装-001;场景-002;第001集-镜头010"
"第001集-镜头012","5","场次002·陈家客厅","纯脸部特写","固定正面","陈母看着沉默的儿子，责备里露出心疼","陈母抿紧嘴唇","陈母：“你玩了十二年了……”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-003陈母头顶至下巴，暖光照出自然细纹；眼神心疼，嘴硬但非刻薄，身份完全保持；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈母先抿唇再说出一句话，动作克制；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-003;服装-006;场景-002;第001集-镜头011"
"第001集-镜头013","5","场次002·餐桌","道具近景","固定俯拍","白瓷热汤碗完整接触浅木桌面，薄雾上升，陈母手在碗侧","陈母把热汤推向陈默","陈母（画外）：“真能当饭吃吗？”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；道具-001白瓷汤碗装米白热汤，稳定接触浅木桌面；角色-003干净无饰物的手从画面边缘触碰碗沿，暖黄灯光，桌面无杂物；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈母的手把汤碗沿桌面平稳推近少许，碗不悬浮，热气轻动；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-003;场景-002;道具-001;第001集-镜头012;服装-006"
"第001集-镜头014","5","场次002·陈家客厅","纯脸部特写","固定正面","陈默低眼，暖光和门后冷光在镜片两侧交叠","陈默抬眼看母亲","陈默（小声）：“妈，这不是玩。”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-001陈默头顶至下巴特写，偏长脸、黑色碎发、哑黑矩形眼镜；冷暖双色反射，先低落后准备辩解；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈默缓慢抬眼并轻声说出短句；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-001;服装-001;场景-002;第001集-镜头013"
"第001集-镜头015","5","场次002·陈家客厅","纯脸部大特写","固定正面","陈默谈到游戏时疲惫眼神第一次发亮","陈默眼神变坚定","陈默：“是我的第二个世界。”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-001陈默头顶至下巴极近特写，眼镜与发型锁定；瞳孔反射柔和蓝光，神态真诚坚定，背景完全虚化；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈默眼神由退缩变坚定，自然说完一句话；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-001;服装-001;场景-002;第001集-镜头014"
"第001集-镜头016","5","场次002·陈家客厅","纯脸部特写","固定反打","陈母想反驳却没有说出口，担忧压过责备","陈母缓慢摇头","陈母：“唉……”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-003陈母头顶至下巴，黑灰短卷发锁定；暖光，欲言又止与心疼同时存在，不做夸张哭相；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈母只缓慢摇一次头并叹气；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-003;服装-006;场景-002;第001集-镜头015"
"第001集-镜头017","5","场次002·陈家客厅","中景背面","固定侧后方","陈默留在餐桌边，热汤在前景，陈母背向镜头走向右后方房门","陈母越过门框离开","无","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；场景-002空间关系清楚，浅木桌与道具-001在前景稳定落地；角色-001站在桌边，角色-003暖棕开衫背影朝右后门口，身高比例正确；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈母走两小步越过房门框并离开画面，陈默保持不动；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-001;角色-003;服装-001;服装-006;场景-002;道具-001;第001集-镜头016"
"第001集-镜头018","5","场次002·陈家客厅","纯脸部大特写","固定正面","热汤蒸汽倒映在陈默镜片下缘，他独自留在暖光里","陈默眼眶渐红","音效：远处关门声、轻微夜虫声","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-001陈默头顶至下巴，黑框眼镜锁定；暖光孤独，眼眶微红但不落泪，镜片下缘有柔和热气反光；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈默眼眶慢慢泛红，远处关门时轻微眨眼；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-001;服装-001;场景-002;道具-001;第001集-镜头017"
"第001集-镜头019","5","场次002·餐桌","手机极近特写","固定俯拍","深灰无Logo手机平放在桌面，旁边是未动的热汤，屏幕初始熄灭","手机振动并亮屏","音效：消息提示音","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；道具-002深灰无Logo手机与道具-001白瓷汤碗都真实接触浅木桌面；暖黄光，干净构图，手机屏幕只显示无字发光占位；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；手机短促振动一次并亮起，汤碗保持不动；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","场景-002;道具-001;道具-002;界面-003;第001集-镜头018"
"第001集-镜头020","5","场次002·餐桌","手机屏幕特写","固定俯拍","无字聊天界面占满手机屏幕，预留单个消息气泡安全区；后期叠加苏晴消息","消息气泡从下方滑入","苏晴（消息画外音）：“陈默，我妈又催了……”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；道具-002手机屏幕上的原创深色聊天UI，无平台Logo、无文字，单个浅色气泡留白，竖屏可读构图，周边仍可见木桌边缘；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；一个空白消息气泡平滑滑入并停住，禁止生成字符；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-002(画外);场景-002;道具-002;界面-003;第001集-镜头019"
"第001集-镜头021","5","场次002·陈家客厅","纯脸部特写","固定正面","手机冷光从下方照亮陈默，暖色背景虚化","陈默目光凝在屏幕上","苏晴（消息画外音）：“我们谈谈吧。”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-001陈默头顶至下巴，黑框眼镜和碎发锁定；下方手机冷光与背后暖光对比，震住、无法回应的表情；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈默视线向下凝住，喉结区域不入画，只做一次轻眨眼；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-001;角色-002(画外);服装-001;场景-002;道具-002;第001集-镜头020"
"第001集-镜头022","5","场次002·餐桌","手部极近特写","固定俯拍","陈默干净无纹身的右手握着手机，聊天界面为无字占位","陈默攥紧手机","音效：手机壳轻微挤压声","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-001自然比例的单只右手，五指准确，握住道具-002深灰手机；浅木桌与暖光，手机界面无字，皮肤干净无饰物；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；右手手指轻微收紧一次，手机不变形不悬浮；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-001;场景-002;道具-002;界面-003;第001集-镜头021;服装-001"
"第001集-镜头023","5","场次003·陈默卧室","中景背面","固定侧后方","陈默回到电脑前，单显示器待机，手机落在键盘左侧","陈默坐进电脑椅","无","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；场景-001深色木桌、单显示器、右侧暖灯与旧黑椅锁定；角色-001灰蓝T恤背面坐下，道具-002手机真实平放在键盘左侧，桌面整洁；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈默向后坐入椅中，椅子轻微下沉，桌面物品不动；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-001;服装-001;场景-001;道具-002;道具-003;第001集-镜头022"
"第001集-镜头024","5","场次003·陈默卧室","鼠标手部近景","固定俯侧","陈默干净右手落在黑色鼠标上，显示器边缘为无字登录图标占位","陈默双击鼠标","音效：鼠标双击声","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-001自然比例右手与道具-003黑色鼠标真实接触深色木桌；显示器边缘冷蓝发光，无可读图标，桌面无杂物；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；食指完成清楚的两次短点击，手腕与鼠标位置稳定；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-001;场景-001;道具-003;界面-001;第001集-镜头023;服装-001"
"第001集-镜头025","5","场次003·游戏主城","屏幕全景","固定正面","加载暗场消退，原创主城夜景展开，陈默游戏角色站在中央","游戏画面由暗转亮","音效：主城环境声、登录完成提示音","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；场景-004原创高幻想MMORPG主城，灰蓝石桥、暖金灯火、被石拱承托的环形魔法装置；角色-游戏-001暗银轻甲深蓝披风背影居中，远处玩家抽象化，无真实游戏元素；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；画面从暗场柔和显现为完整主城，角色保持站立；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-游戏-001;场景-004;界面-001;第001集-镜头024"
"第001集-镜头026","5","场次003·陈默卧室","纯脸部特写","固定正面","主城暖金灯火映在陈默黑框眼镜上，他疲惫但重新集中","陈默深吸气","音效：短促吸气声","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-001陈默头顶至下巴，黑框眼镜与碎发锁定；镜片反射原创主城金蓝光，神情从被压迫转为熟悉与专注；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈默缓慢吸气，肩部不入画，只让鼻翼和眼神有细微变化；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-001;服装-001;场景-001;场景-004(镜片反射);第001集-镜头025"
"第001集-镜头027","5","场次003·游戏主城","屏幕近景","固定正面","原创主城无字UI右侧有一枚空白任务按钮占位","光标点击任务按钮","陈默：“再打一轮日常。”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；场景-004主城背景，界面-001暗蓝半透明无字面板与金色细边；右侧清晰空白按钮供后期叠加“日常任务”，不生成文字；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；光标移动短距离并点击空白按钮一次，背景角色只做待机呼吸；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-游戏-001;场景-004;界面-001;第001集-镜头026"
"第001集-镜头028","5","场次003·系统初现","屏幕极近特写","固定正面","原游戏UI骤暗，中央出现无字金色半透明系统面板；后期叠加热爱值","金色系统面板弹出","音效：低频启动声、金属电子提示音","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；界面-002金色半透明几何面板居中，细线框与柔和粒子，后方原创主城压暗；中央留大块无字安全区，不仿任何现有游戏系统UI；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；系统面板由一点金光展开成完整矩形，后方UI同步压暗；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","场景-004;界面-001;界面-002;第001集-镜头027"
"第001集-镜头029","5","场次003·系统面板","数字占位极近特写","固定正面","系统面板中的空白计数栏与满格进度条；后期叠加“31247小时”","抽象计数光块滚动后定格","系统：“检测到宿主热爱值满格。”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；界面-002局部，金色满格进度条和一个无字数字占位框，细节清晰，预留后期叠字，不生成任何数字或字符；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；占位框内的抽象光块快速滚动后停住，进度条保持满格；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","界面-002;第001集-镜头028"
"第001集-镜头030","5","场次003·陈默卧室","纯脸部大特写","固定正面","金光映满陈默镜片，他震惊盯着异常面板","陈默瞳孔放大","系统：“累计在线三万一千二百四十七小时。”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；角色-001陈默头顶至下巴极近特写，黑框眼镜与碎发锁定；金色系统光占主导，瞳孔放大，真实震惊不夸张；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；陈默瞳孔轻微放大并屏住呼吸，其他部位保持不动；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","角色-001;服装-001;场景-001;界面-002(镜片反射);第001集-镜头029"
"第001集-镜头031","5","场次003·系统面板","面板近景","固定正面","无字兑换比例栏亮起金边；后期叠加“1金币=0.03元”","比例栏高亮一次","系统：“热爱系统激活。当前比例，一比零点零三。”","9:16竖屏，高品质stylized 3D动画电影质感，二次元面部比例，精致建模，材质细腻，明快高对比；界面-002金色半透明面板，单行无字比例栏位于视觉中心，外围金色细边，背景主城虚化，预留准确后期文字；无可读文字，禁止真实品牌与真实游戏资产、Logo、二维码、水印、纹身、耳钉耳环、烟酒、悬浮杂物、畸形肢体、多指、穿模、Q版chibi","基于对应关键帧生成5秒竖屏视频；比例栏边框由暗到亮闪一次后稳定；镜头完全固定，小幅自然动作，只发生一个主要变化；保持人物长相、发型、服装、场景布局与光线不变，不新增物体，不生成文字，不变形，不穿模","界面-002;界面-004;第001集-镜头030"
